,Review,Rating
55,ห้องพักดีวิวเมืองสวย ห้องพักสะอาด ได้รับบริการที่ดีจากพนักงาน,8.5
56,ห้องพักสบาย เช็คอินรวดเร็ว ใกล้รถไฟฟ้า มีตลาดนัด และห้างเดินได้ทั้งวัน อาหารเช้าเยอะมาก รสชาติอร่อยดี ห้องน้ำกว้างขวาง สะอาด พนักงานต้อนรับดี ขึ้นไปดาดฟ้าถ่ายรูปได้วิวสูง แต่ตอนนี้เขาทำหลังคาปิดด้านบนไว้ น่าจะเพราะที่เป็นข่าวมีคนปีนขึ้นไปบนยอด โดยรวมโอเค เหมาะสายช้อปปิ้ง,8.5
57,ดีทุกอย่างยกเว้นทีวี อินเดียเยอะมากเหม็นมาก พนักงานดีพูดได้หลายภาษา,8.7
58,พนักงานต้อนรับดี อาหารเยอะมากคะ,8.5
59,ห้องพักกว้างมาก แบ่งโซนเป็นสัดส่วนดี วิวดี,8.5
60,โรงแรมใจกลางเมือง เป็นโรงแรมที่อยู่ใจกลางเมืองรอบข้างจะมีบริเวณแขกมากมายแต่ก็ไม่ได้ทำให้เสียอารมณ์หรือบรรยากาศใดใดเพราะว่าโรงแรมมีไซด์ที่ที่ดีมากๆ ส่วนห้องพักค่อนข้างจะเก่า การบริการพนักงานดีมากๆเพราะว่าคุ้มค่ากับราคาที่จ่ายไปได้ถูกอัพเกรดเป็นห้องเดี๋ยวรถรูมทำให้ประทับใจมากแล้วก็ได้ขึ้นอยู่ไปชมวิวชั้นบนสุดส่งกรุงเทพยามค่ำคืนกลับบุฟเฟ่ก็ค่อนข้างจะคุมแล้ว,9.1
61,ห้องพักโอเค ตามอายุโรงแรมแต่ก็ถือว่าสะอาด กลิ่นท่อแรงไปค่ะ นี่จองห้องซูพเรียสวีท ได้ชั้น31 สัญญานอินเตอร์เนตแย่มาก ทีวีเคเบิ้ลกระตุกบ่อย โรงแรม4ดาวควรจะปรับปรุงมากกว่สนี้ค่ะ แต่เจ้าหน้าทุกคนต้อนรับน่ารักมากค่ะ,8.5
62,ห้องพักกว้างดีค่ะ วิวสวย ขึ้นไปชมวิวได้ฟรี พนง.บริการดีมากค่ะ ที่สำคัญฝากกระเป๋าได้ด้วย😊,9.7
63,ห้องพักกว้างดี หมอนนุ่ม เตียงนุ่ม แต่ชาวต่างชาติเยอะมาก โรงแรมมีครบหมด วิวสวย,8.4
64,ร้องขอเช็คอินตอนเที่ยง เพราะบินมาถึงเช้า แต่ก็ต้องมานั่งรออยู่ดี เพราะคำร้องขอไม่เป็นผล รอจนบ่าย2 ทั้งเหนื่อย ทั้งง่วงจ้า,6.3
65,ดีมากคะ เตียงนุ่มหลับสบาย อาหารหลากหลาย ดีมากๆคะ,10
66,พนักงานน่ารักมาก ดูแลดีมากค่ะ ช่วยเหลือตลอด บริการดีมาก ๆ ห้องพักดีไซน์ดีค่ะ ห้องน้ำกว้างดีมาก แอร์เย็นค่ะ วิวสวย แต่ทัวร์จีนลงเยอะไปหน่อยค่ะ โดยสรุปโรงแรมบรรยากาศดีค่ะ แต่ที่เรตไม่ดีเพราะ ทะเลาะกับแฟนแล้วรู้สึกแย่มากถึงมากที่สุดค่ะ เลยต้องลงมานั่งข้างล่างค่ะ บรรยากาศพังมากค่ะ แต่สถานที่และบริการโดยรวมดีมากค่ะ,7
67,ประทับใจมากค่ะ ห้องพักกว้าง วิวสวยดีค่ะ จะมาพักอีกแน่นอนและจะแนะนำเพื่อนมาพักที่นี่ค่ะ,9.7
68,ห้องพักกว้างดีค่ะ บรรยากาศดีเริ่ด และจะกลับมาพักอีกแน่นอนค่ะ,8.5
69,ห้องสวย สะอาด น่าอยู่ หลับสนิทตลอดคืน แถมวิวสวยมากๆเลยค่ะ สะดวกสบาย😊 ถ้ามีโอกาสจะกลับไปพักอีกครั้งคะ,8.5
70,บรรยากาศดี ห้องพักสะอาด อาหารเช้าเยอะมาก เอาไปเลย 10 เต็ม ข้อเสีย นักท่องเที่ยวเยอะมาก เยอะจริงๆ,8.8
71,มาพักกับแฟนครั้งที่ 3 แล้วประทับใจทุกครั้ง,8.5
72,คิดว่าปานกลางค่ะ มีคนเยอะแต่ห้องเหม็นอับไปหน่อยคะ และค่ามัดจำสูงไปคะ 3000บาท,8.5
73,อยากให้ทำที่จอดรถดีกว่านี้ ที่จอดรถดูเปลี่ยวเกินไป ดูน่ากลัว แต่ส่วนที่เหลือดีหมดทุกอย่างครับ,8.5
74,ดีทุกอย่างยกเว้นรีเชฟชั่น เชคอินชื่อไม่ตรงกับบัตรมีปัณหานะคร้า ก็ไม่เข้าใจเราจองผ่านappแน่นอนอยุ่แล้วที่เราต้องใส่ชื่อเล่น หรือจะเถียง นางบอกผิดกฏคะไม่สามารถเชคอิน เราก็เถียงเรามีเอกสารทุกอย่างแต่ชื่อbook ไม่ตรงบัตรประชาชนแค่นั้น นี่จองตั่วไปตปท. รร.ที่ตปท.ไม่เคยมีปัณหาคะใช้มาหลายปีแล้ว งงมาก นางบอกให้เช้คอินแต่ต้องอีเมลไปเปลี่ยนชื่อ เราไม่คะ เปลี่ยนเพื่อ?,8.5
75,Front desk เป็นกันเองน่ารัก ห้องไม่เก่าค่ะ,8.8
76,สะดวก ปลอดภัย เดินทางง่าย ใกล้รถไฟฟ้าราชปรารภ,9.4
