,Review,Rating
70,ไปพักหลายรอบแล้ว ห้องสบายสะอาด และเดินทางสะดวกมากๆ,8.8
71,ประทับใจมาก แต่วันเช็คอินค่อยข้างช้า อาจเพราะคนเยอะด้วย มี welcomedrink บัตรส่วนลดค่าอาหาร ห้องพักสะอาด หอมมาก อุปกรณ์ภายในห้องครบ ถ้ามีโอกาศจะมาเข้าพักที่นี้อีกเรื่อยๆ ใกล้ mrt มากที่สุดของที่สุด ลืมชม พนักงานที่นี้น่ารักนะคะ,10
72,ที่จอดรถน้อยมาก จอดรถยากมากถึงยากที่สุด,6.2
73,ระวังเขาจะว่าคุณทำผ้าเปื้อนแล้วซักไม่ออก คิดผืนละ 200 ผมเช็ดหน้ามีรองพื้นติดประมาณ จุดสองจุด แล้วฟร้อนยังบอกอีกว่าถ้าซักออกก็คิดผืนละ 100 อยู่ดี ผมเลยบอกว่างั้นผมเอาไปซักเอง ถ้าออกผมเอาเรื่อง ถึงยอมคืนมัดจำ แย่มาก ผมพักที่นี้หลายครั้งเพราะเดินทางสะดวก คงต้องหาที่อื่นแล้วละ,6
74,ห้องพักสะอาดมาก มีสิ่งอำนวยความสะดวกครบครัน เตียงใหญ่มากๆ ห้องน้ำสะอาด มีโต๊ะให้นั่งทำงานด้วย บรรยากาศโดยรวมดีมาก พนักงานต้อนรับบริการดี,9.7
75,ห้องพักสะอาด บรรยากาศดี พนักงานต้อนรับบริการดีมาก,8.5
76,เช็กอิน จองเตียงคิงไซด์ หน้างานบอกเต็ม มื้อเช้าเปิดถึง 10.30 ลงไป 9.30 ไม่เติมอาหาร และของกินไม่หลากหลาย,5.5
77,ทุกอย่างดีหมด มาเสียตรงเป็นที่พักแท้ๆแต่หมอนไม่ไหวเลย แบนยิ่งกว่าอะไรดีนอนไม่สบายเอามากๆ,9.1
78,ดีงามมากหรูหราเกินราคา ชอบการบริการดี ห้องพักมีครบ มีได มีร่ม มีทุกอย่าง,8.5
79,ได้ยินเสียงทีวีห้องข้างๆชัดมาก ทำให้รบกวนการนอน นอกนั้นดีหมดค่ะ,9.4
